"team","attack","defense","net_rating","rank"
"Germany",1.83925337165073,-1.52827121762992,3.36752458928066,1
"Brazil",1.86720727161588,-1.42503458910058,3.29224186071645,2
"France",1.7154267712658,-1.56879205856073,3.28421882982653,3
"Spain",1.90084029281837,-1.28488687830791,3.18572717112628,4
"Croatia",1.63292255078064,-1.55003812726208,3.18296067804271,5
"Belgium",1.85048698533333,-1.27828498727681,3.12877197261013,6
"Portugal",1.68553226259577,-1.37935350137093,3.0648857639667,7
"England",1.65424963240748,-1.40229274680438,3.05654237921186,8
"Colombia",1.61272187960643,-1.43800396971388,3.0507258493203,9
"Netherlands",1.76340782461515,-1.2527923287002,3.01620015331535,10
"Denmark",1.41607549999086,-1.50658256028417,2.92265806027503,11
"Italy",1.34174163355016,-1.53132042976912,2.87306206331928,12
"Wales",1.32966072613409,-1.53057924180636,2.86023996794045,13
"Chile",1.50697195031069,-1.3102826652473,2.81725461555799,14
"Switzerland",1.47301014107151,-1.33497177407893,2.80798191515044,15
"Sweden",1.45517616667924,-1.34721979416342,2.80239596084267,16
"Argentina",1.39179609379822,-1.38771674245567,2.77951283625389,17
"Uruguay",1.43944890207625,-1.29679253122059,2.73624143329684,18
"Peru",1.30599025909559,-1.31788200079448,2.62387225989007,19
"Mexico",1.36994530836778,-1.2514707037487,2.62141601211648,20
"Poland",1.65101113180043,-0.96320354137678,2.61421467317721,21
"Senegal",1.29361135873497,-1.30430906318355,2.59792042191851,22
"Slovakia",1.36577675602789,-1.2083132410886,2.57408999711649,23
"Russia",1.52502487498327,-1.03031780031941,2.55534267530268,24
"Morocco",1.07292940084127,-1.43115048589914,2.50407988674041,25
"Ukraine",1.17670714518394,-1.32712277718234,2.50382992236628,26
"Serbia",1.47342556064311,-1.01352019328698,2.48694575393008,27
"Northern Ireland",1.02959720253977,-1.45686248729457,2.48645968983434,28
"Iran",0.995748849694013,-1.487423274788,2.48317212448201,29
"Ireland",1.23441379162448,-1.22863211842609,2.46304591005057,30
"Romania",1.16301784474933,-1.28151179813402,2.44452964288335,31
"Iceland",1.41404426872452,-1.00272789771372,2.41677216643824,32
"Austria",1.32131427249886,-1.08932042733196,2.41063469983083,33
"Turkey",1.32815608769629,-1.06583663350763,2.39399272120392,34
"Ecuador",1.4399473883398,-0.921719546893162,2.36166693523296,35
"Scotland",1.34985531448037,-0.963885000090405,2.31374031457077,36
"Bosnia-Herzegovina",1.39994677932867,-0.873230224573936,2.27317700390261,37
"Czech Republic",1.27987209661177,-0.939769647017129,2.2196417436289,38
"Japan",1.29615535489552,-0.917681947299309,2.21383730219483,39
"Costa Rica",0.964874372852556,-1.22292755586883,2.18780192872139,40
"USA",1.27214195897391,-0.910508055352347,2.18265001432626,41
"Nigeria",1.06072857741121,-1.11656002279817,2.17728860020938,42
"Ghana",1.10589976945278,-1.06467983773152,2.1705796071843,43
"Paraguay",1.23836789598799,-0.923016471449504,2.16138436743749,44
"Egypt",0.993977037219602,-1.12435223257199,2.1183292697916,45
"Australia",1.24322016267213,-0.860285113836379,2.10350527650851,46
