"country","group","expected_pts","first_in_group","second_in_group","r16","qtrs","semis","finals","champ"
"Brazil","E",0,0,0,0,0.67,0.35,0.22,0.14
"Belgium","G",0,0,0,0,0.85,0.49,0.19,0.14
"France","C",0,0,0,0,0.6,0.37,0.23,0.12
"England","G",0,0,0,0,0.43,0.23,0.12,0.09
"Portugal","B",0,0,0,0,0.51,0.27,0.14,0.08
"Spain","B",0,0,0,0,0.54,0.3,0.16,0.07
"Argentina","D",0,0,0,0,0.4,0.21,0.12,0.06
"Croatia","D",0,0,0,0,0.59,0.3,0.19,0.06
"Colombia","H",0,0,0,0,0.57,0.34,0.12,0.06
"Russia","A",0,0,0,0,0.46,0.19,0.11,0.05
"Uruguay","A",0,0,0,0,0.49,0.15,0.06,0.03
"Switzerland","E",0,0,0,0,0.49,0.21,0.09,0.03
"Denmark","C",0,0,0,0,0.41,0.21,0.1,0.03
"Sweden","F",0,0,0,0,0.51,0.22,0.11,0.03
"Japan","H",0,0,0,0,0.15,0.05,0.02,0.01
"Egypt","A",0,0,0,0,0,0,0,0
"Iran","B",0,0,0,0,0,0,0,0
"Peru","C",0,0,0,0,0,0,0,0
"Australia","C",0,0,0,0,0,0,0,0
"Iceland","D",0,0,0,0,0,0,0,0
"Costa Rica","E",0,0,0,0,0,0,0,0
"Germany","F",0,0,0,0,0,0,0,0
"Korea Republic","F",0,0,0,0,0,0,0,0
"Mexico","F",0,0,0,0,0.33,0.11,0.02,0
"Panama","G",0,0,0,0,0,0,0,0
"Poland","H",0,0,0,0,0,0,0,0
"Saudi Arabia","A",0,0,0,0,0,0,0,0
"Morocco","B",0,0,0,0,0,0,0,0
"Nigeria","D",0,0,0,0,0,0,0,0
"Serbia","E",0,0,0,0,0,0,0,0
"Tunisia","G",0,0,0,0,0,0,0,0
"Senegal","H",0,0,0,0,0,0,0,0
